Date,CashValue,AssetValue,TotalValue
1982-08-13,1303.5980000000004,29082.262000000002,30385.860000000004
1982-08-16,1303.5980000000004,29628.007,30931.605000000003
1982-08-17,1303.5980000000004,31008.055000000004,32311.653000000006
1982-08-18,1303.5980000000004,31154.832000000002,32458.430000000004
1982-08-19,1303.5980000000004,31397.661000000004,32701.259000000005
1982-08-20,1303.5980000000004,32478.953,33782.551
1982-08-23,1303.5980000000004,33630.998,34934.596
1982-08-24,1303.5980000000004,33183.84,34487.437999999995
1982-08-25,1303.5980000000004,33266.607,34570.205
1982-08-26,1303.5980000000004,33545.717000000004,34849.315
1982-08-27,1303.5980000000004,33096.561,34400.159
1982-08-30,1303.5980000000004,33366.075,34669.672999999995
1982-08-31,1303.5980000000004,34347.132000000005,35650.73
1982-09-01,1303.5980000000004,34133.584,35437.182
1982-09-02,1303.5980000000004,34868.789000000004,36172.387
1982-09-03,1303.5980000000004,35620.48,36924.078
1982-09-07,1303.5980000000004,35093.097,36396.695
1982-09-08,1303.5980000000004,35077.921,36381.519
1982-09-09,1303.5980000000004,35028.707,36332.305
1982-09-10,1303.5980000000004,34658.883,35962.481
1982-09-13,1303.5980000000004,35283.764,36587.362
1982-09-14,1303.5980000000004,35708.779,37012.377
1982-09-15,1303.5980000000004,35927.060000000005,37230.658
1982-09-16,1303.5980000000004,36138.903000000006,37442.501000000004
1982-09-17,1303.5980000000004,35798.759999999995,37102.35799999999
1982-09-20,37097.545000000006,0.0,37097.545000000006
1982-09-21,2.833000000001448,37391.361,37394.193999999996
1982-09-22,2.833000000001448,36852.001000000004,36854.834
1982-09-23,2.833000000001448,37079.67,37082.503
1982-09-24,2.833000000001448,37134.191,37137.024
1982-09-27,2.833000000001448,37381.228,37384.061
1982-09-28,2.833000000001448,37542.313,37545.146
1982-09-29,2.833000000001448,36833.229,36836.062
1982-09-30,2.833000000001448,36180.106999999996,36182.939999999995
1982-10-01,2.833000000001448,36668.004,36670.837
1982-10-04,2.833000000001448,36785.965000000004,36788.798
1982-10-05,2.833000000001448,37008.72000000001,37011.55300000001
1982-10-06,2.833000000001448,38867.244000000006,38870.077000000005
1982-10-07,2.833000000001448,39059.925,39062.758
1982-10-08,2.833000000001448,39878.700000000004,39881.533
1982-10-11,2.833000000001448,40214.524000000005,40217.357
1982-10-12,2.833000000001448,39475.573000000004,39478.406
1982-10-13,2.833000000001448,39884.956,39887.789
1982-10-14,2.833000000001448,39203.683000000005,39206.516
1982-10-15,2.833000000001448,39025.802,39028.635
1982-10-18,2.833000000001448,39956.246,39959.079
1982-10-19,2.833000000001448,39486.063,39488.896
1982-10-20,2.833000000001448,40351.256,40354.089
1982-10-21,2.833000000001448,41088.9,41091.733
1982-10-22,2.833000000001448,41026.362,41029.195
1982-10-25,2.833000000001448,39477.811,39480.644
1982-10-26,2.833000000001448,39674.729,39677.562
1982-10-27,2.833000000001448,40096.224,40099.057
1982-10-28,2.833000000001448,39709.502,39712.335
1982-10-29,2.833000000001448,39833.793000000005,39836.626000000004
1982-11-01,2.833000000001448,40170.276000000005,40173.109000000004
1982-11-02,2.833000000001448,40836.509000000005,40839.342000000004
1982-11-03,2.833000000001448,42703.023,42705.856
1982-11-04,2.833000000001448,42497.11200000001,42499.94500000001
1982-11-05,2.833000000001448,42370.638000000006,42373.471000000005
1982-11-08,2.833000000001448,41993.594,41996.426999999996
1982-11-09,2.833000000001448,42256.024000000005,42258.857
1982-11-10,2.833000000001448,41474.912,41477.744999999995
1982-11-11,2.833000000001448,41986.854999999996,41989.687999999995
1982-11-12,2.833000000001448,41844.697,41847.53
1982-11-15,2.833000000001448,40662.931,40665.763999999996
1982-11-16,2.833000000001448,40092.880000000005,40095.713
1982-11-17,2.833000000001448,41109.72200000001,41112.55500000001
1982-11-18,2.833000000001448,41356.008,41358.841
1982-11-19,2.833000000001448,41350.893,41353.725999999995
1982-11-22,2.833000000001448,40148.176999999996,40151.009999999995
1982-11-23,2.833000000001448,40050.064,40052.897
1982-11-24,2.833000000001448,40401.363,40404.195999999996
1982-11-26,2.833000000001448,40850.257999999994,40853.09099999999
1982-11-29,2.833000000001448,40710.242,40713.075
1982-11-30,2.833000000001448,42384.600000000006,42387.433000000005
1982-12-01,2.833000000001448,42921.995,42924.828
1982-12-02,2.833000000001448,43033.769,43036.602
1982-12-03,2.833000000001448,43074.382,43077.215
1982-12-06,2.833000000001448,44273.02199999999,44275.85499999999
1982-12-07,2.833000000001448,44992.395,44995.227999999996
1982-12-08,2.833000000001448,44607.899999999994,44610.73299999999
1982-12-09,2.833000000001448,43405.92,43408.753
1982-12-10,2.833000000001448,42284.62999999999,42287.46299999999
1982-12-13,2.833000000001448,42703.043999999994,42705.87699999999
1982-12-14,2.833000000001448,41571.662,41574.494999999995
1982-12-15,2.833000000001448,40894.35800000001,40897.191000000006
1982-12-16,2.833000000001448,40816.880000000005,40819.713
1982-12-17,2.833000000001448,42106.041,42108.873999999996
1982-12-20,2.833000000001448,41970.754,41973.587
1982-12-21,2.833000000001448,42955.72699999999,42958.55999999999
1982-12-22,2.833000000001448,43057.22,43060.053
1982-12-23,2.833000000001448,43119.617,43122.45
1982-12-27,2.833000000001448,43631.257,43634.09
1982-12-28,2.833000000001448,42744.687,42747.52
1982-12-29,2.833000000001448,43391.897000000004,43394.73
1982-12-30,2.833000000001448,43066.259,43069.092
1982-12-31,2.833000000001448,43168.988999999994,43171.82199999999
1983-01-03,2.833000000001448,42195.981999999996,42198.814999999995
1983-01-04,2.833000000001448,42434.66200000001,42437.49500000001
1983-01-05,2.833000000001448,42358.91500000001,42361.74800000001
1983-01-06,2.833000000001448,42814.16100000001,42816.994000000006
1983-01-07,2.833000000001448,42665.56,42668.393
1983-01-10,2.833000000001448,43018.59299999999,43021.42599999999
1983-01-11,2.833000000001448,42843.12299999999,42845.95599999999
1983-01-12,2.833000000001448,43505.455,43508.288
1983-01-13,2.833000000001448,43286.099,43288.932
1983-01-14,2.833000000001448,43799.153000000006,43801.986000000004
1983-01-17,2.833000000001448,44106.03599999999,44108.86899999999
1983-01-18,2.833000000001448,43830.149999999994,43832.98299999999
