Date,CashValue,AssetValue,TotalValue
1988-05-31,132495.09499999965,0.0,132495.09499999965
1988-06-01,7.120999999741798,134383.47800000003,134390.59899999978
1988-06-02,7.120999999741798,133265.24200000003,133272.36299999978
1988-06-03,7.120999999741798,133720.32200000004,133727.4429999998
1988-06-06,7.120999999741798,133748.08399999994,133755.2049999997
1988-06-07,7.120999999741798,132916.15399999998,132923.27499999973
1988-06-08,7.120999999741798,136416.41999999998,136423.54099999974
1988-06-09,7.120999999741798,135753.01399999997,135760.13499999972
1988-06-10,7.120999999741798,137706.86399999997,137713.98499999972
1988-06-13,7.120999999741798,138141.76,138148.88099999976
1988-06-14,7.120999999741798,141127.07199999996,141134.1929999997
1988-06-15,7.120999999741798,141325.91600000003,141333.03699999978
1988-06-16,7.120999999741798,137715.45200000002,137722.57299999977
1988-06-17,7.120999999741798,138407.58399999994,138414.7049999997
1988-06-20,7.120999999741798,138107.85200000004,138114.9729999998
1988-06-21,7.120999999741798,139867.11399999994,139874.2349999997
1988-06-22,7.120999999741798,143301.28399999999,143308.40499999974
1988-06-23,7.120999999741798,143088.72799999994,143095.8489999997
1988-06-24,7.120999999741798,141932.88199999993,141940.00299999968
1988-06-27,7.120999999741798,139543.57199999996,139550.6929999997
1988-06-28,7.120999999741798,141775.11599999998,141782.23699999973
1988-06-29,7.120999999741798,140922.99799999993,140930.1189999997
1988-06-30,7.120999999741798,143172.22800000003,143179.34899999978
1988-07-01,7.120999999741798,141953.14200000002,141960.26299999977
1988-07-05,7.120999999741798,143189.462,143196.58299999975
1988-07-06,7.120999999741798,141021.26199999996,141028.3829999997
1988-07-07,7.120999999741798,140200.16999999998,140207.29099999974
1988-07-08,7.120999999741798,139391.762,139398.88299999974
1988-07-11,7.120999999741798,139277.58600000007,139284.70699999982
1988-07-12,7.120999999741798,136984.216,136991.33699999974
1988-07-13,136919.16499999975,0.0,136919.16499999975
1988-07-14,2.162999999698968,137683.79300000003,137685.95599999974
1988-07-15,2.162999999698968,137917.76400000002,137919.92699999973
1988-07-18,2.162999999698968,136914.054,136916.2169999997
1988-07-19,2.162999999698968,135991.30999999997,135993.47299999968
1988-07-20,2.162999999698968,134932.27699999997,134934.43999999968
1988-07-21,2.162999999698968,132505.55699999994,132507.71999999965
1988-07-22,2.162999999698968,131931.84500000003,131934.00799999974
1988-07-25,2.162999999698968,132393.50299999997,132395.66599999968
1988-07-26,2.162999999698968,132026.54,132028.70299999972
1988-07-27,2.162999999698968,130980.11399999997,130982.27699999967
1988-07-28,2.162999999698968,132341.246,132343.40899999972
1988-07-29,2.162999999698968,135657.696,135659.8589999997
1988-08-01,2.162999999698968,137116.86699999997,137119.02999999968
1988-08-02,2.162999999698968,136105.09200000003,136107.25499999974
1988-08-03,2.162999999698968,136507.60100000002,136509.76399999973
1988-08-04,2.162999999698968,136659.98400000005,136662.14699999976
1988-08-05,2.162999999698968,135696.681,135698.84399999972
1988-08-08,2.162999999698968,134337.928,134340.09099999972
1988-08-09,2.162999999698968,131762.187,131764.34999999971
1988-08-10,2.162999999698968,128324.49000000003,128326.65299999973
